Região;Estado;Capital;
Centro-Oeste;Mato Grosso;Cuiaba;
Centro-Oeste;Mato Grosso do Sul;Campo Grande;
Centro-Oeste;Goiás;Goiânia;
Centro-Oeste;Distrito Federal;Brasília;
